人民币	人民币 ￥
日本	日本 🇯🇵
日本国	日本国 🇯🇵
肯尼亚	肯尼亚 🇰🇪
肯尼亚共和国	肯尼亚共和国 🇰🇪
吉尔吉斯斯坦	吉尔吉斯斯坦 🇰🇬
吉尔吉斯共和国	吉尔吉斯共和国 🇰🇬
柬埔寨	柬埔寨 🇰🇭
柬埔寨王国	柬埔寨王国 🇰🇭
基里巴斯	基里巴斯 🇰🇮
基里巴斯共和国	基里巴斯共和国 🇰🇮
科摩罗	科摩罗 🇰🇲
科摩罗联盟	科摩罗联盟 🇰🇲
圣基茨和尼维斯	圣基茨和尼维斯 🇰🇳
朝鲜	朝鲜 🇰🇵
北朝鲜	北朝鲜 🇰🇵
北韩	北韩 🇰🇵
韩国	韩国 🇰🇷
南朝鲜	南朝鲜 🇰🇷
南韩	南韩 🇰🇷
科威特	科威特 🇰🇼
科威特国	科威特国 🇰🇼
开曼群岛	开曼群岛 🇰🇾
哈萨克斯坦	哈萨克斯坦 🇰🇿
哈萨克斯坦共和国	哈萨克斯坦共和国 🇰🇿
老挝	老挝 🇱🇦
老挝人民民主共和国	老挝人民民主共和国 🇱🇦
黎巴嫩	黎巴嫩 🇱🇧
黎巴嫩共和国	黎巴嫩共和国 🇱🇧
圣卢西亚	圣卢西亚 🇱🇨
列支敦士登	列支敦士登 🇱🇮
列支敦士登公国	列支敦士登公国 🇱🇮
斯里兰卡	斯里兰卡 🇱🇰
斯里兰卡民主社会主义共和国	斯里兰卡民主社会主义共和国 🇱🇰
利比里亚	利比里亚 🇱🇷
利比里亚共和国	利比里亚共和国 🇱🇷
莱索托	莱索托 🇱🇸
莱索托王国	莱索托王国 🇱🇸
立陶宛	立陶宛 🇱🇹
立陶宛共和国	立陶宛共和国 🇱🇹
卢森堡	卢森堡 🇱🇺
卢森堡大公国	卢森堡大公国 🇱🇺
拉脱维亚	拉脱维亚 🇱🇻
拉脱维亚共和国	拉脱维亚共和国 🇱🇻
利比亚	利比亚 🇱🇾
利比亚国	利比亚国 🇱🇾
摩洛哥	摩洛哥 🇲🇦
摩洛哥王国	摩洛哥王国 🇲🇦
摩纳哥	摩纳哥 🇲🇨
摩纳哥公国	摩纳哥公国 🇲🇨
摩尔多瓦	摩尔多瓦 🇲🇩
摩尔多瓦共和国	摩尔多瓦共和国 🇲🇩
黑山	黑山 🇲🇪
法属圣马丁	法属圣马丁 🇲🇫
马达加斯加	马达加斯加 🇲🇬
马达加斯加共和国	马达加斯加共和国 🇲🇬
马绍尔群岛	马绍尔群岛 🇲🇭
北马其顿	北马其顿 🇲🇰
北马其顿共和国	北马其顿共和国 🇲🇰
马里	马里 🇲🇱
马里共和国	马里共和国 🇲🇱
缅甸	缅甸 🇲🇲
缅甸联邦	缅甸联邦 🇲🇲
缅甸联邦共和国	缅甸联邦共和国 🇲🇲
蒙古	蒙古 🇲🇳
蒙古国	蒙古国 🇲🇳
中国澳门特别行政区	中国澳门特别行政区 🇲🇴
中国澳门	中国澳门 🇲🇴
澳门	澳门 🇲🇴
澳门特别行政区	澳门特别行政区 🇲🇴
北马里亚纳群岛	北马里亚纳群岛 🇲🇵
马提尼克	马提尼克 🇲🇶
毛里塔尼亚	毛里塔尼亚 🇲🇷
毛里塔尼亚伊斯兰共和国	毛里塔尼亚伊斯兰共和国 🇲🇷
蒙特塞拉特	蒙特塞拉特 🇲🇸
马耳他	马耳他 🇲🇹
马耳他共和国	马耳他共和国 🇲🇹
毛里求斯	毛里求斯 🇲🇺
毛里求斯共和国	毛里求斯共和国 🇲🇺
马尔代夫	马尔代夫 🇲🇻
马尔代夫共和国	马尔代夫共和国 🇲🇻
马拉维	马拉维 🇲🇼
马拉维共和国	马拉维共和国 🇲🇼
墨西哥	墨西哥 🇲🇽
墨西哥合众国	墨西哥合众国 🇲🇽
马来西亚	马来西亚 🇲🇾
莫桑比克	莫桑比克 🇲🇿
莫桑比克共和国	莫桑比克共和国 🇲🇿
纳米比亚	纳米比亚 🇳🇦
纳米比亚共和国	纳米比亚共和国 🇳🇦
新喀里多尼亚	新喀里多尼亚 🇳🇨
尼日尔	尼日尔 🇳🇪
尼日尔共和国	尼日尔共和国 🇳🇪
诺福克岛	诺福克岛 🇳🇫
尼日利亚	尼日利亚 🇳🇬
尼日利亚联邦	尼日利亚联邦 🇳🇬
尼日利亚联邦共和国	尼日利亚联邦共和国 🇳🇬
尼加拉瓜	尼加拉瓜 🇳🇮
尼加拉瓜共和国	尼加拉瓜共和国 🇳🇮
荷兰	荷兰 🇳🇱
尼德兰	尼德兰 🇳🇱
挪威	挪威 🇳🇴
挪威王国	挪威王国 🇳🇴
尼泊尔	尼泊尔 🇳🇵
瑙鲁	瑙鲁 🇳🇷
瑙鲁共和国	瑙鲁共和国 🇳🇷
纽埃	纽埃 🇳🇺
新西兰	新西兰 🇳🇿
阿曼	阿曼 🇴🇲
阿曼苏丹国	阿曼苏丹国 🇴🇲
巴拿马	巴拿马 🇵🇦
巴拿马共和国	巴拿马共和国 🇵🇦
秘鲁	秘鲁 🇵🇪
秘鲁共和国	秘鲁共和国 🇵🇪
法属波利尼西亚	法属波利尼西亚 🇵🇫
巴布亚新几内亚	巴布亚新几内亚 🇵🇬
巴布亚新几内亚独立国	巴布亚新几内亚独立国 🇵🇬
菲律宾	菲律宾 🇵🇭
菲律宾共和国	菲律宾共和国 🇵🇭
巴基斯坦	巴基斯坦 🇵🇰
巴基斯坦伊斯兰共和国	巴基斯坦伊斯兰共和国 🇵🇰
波兰	波兰 🇵🇱
波兰共和国	波兰共和国 🇵🇱
圣皮埃尔和密克隆群岛	圣皮埃尔和密克隆群岛 🇵🇲
皮特凯恩群岛	皮特凯恩群岛 🇵🇳
波多黎各	波多黎各 🇵🇷
巴勒斯坦领土	巴勒斯坦领土 🇵🇸
葡萄牙	葡萄牙 🇵🇹
葡萄牙共和国	葡萄牙共和国 🇵🇹
帕劳	帕劳 🇵🇼
帕劳共和国	帕劳共和国 🇵🇼
巴拉圭	巴拉圭 🇵🇾
巴拉圭共和国	巴拉圭共和国 🇵🇾
卡塔尔	卡塔尔 🇶🇦
卡塔尔国	卡塔尔国 🇶🇦
留尼汪	留尼汪 🇷🇪
罗马尼亚	罗马尼亚 🇷🇴
塞尔维亚	塞尔维亚 🇷🇸
塞尔维亚共和国	塞尔维亚共和国 🇷🇸
俄罗斯	俄罗斯 🇷🇺
俄国	俄国 🇷🇺
俄罗斯联邦	俄罗斯联邦 🇷🇺
卢旺达	卢旺达 🇷🇼
卢旺达共和国	卢旺达共和国 🇷🇼
沙特	沙特 🇸🇦
沙特阿拉伯	沙特阿拉伯 🇸🇦
沙特阿拉伯王国	沙特阿拉伯王国 🇸🇦
所罗门群岛	所罗门群岛 🇸🇧
塞舌尔	塞舌尔 🇸🇨
塞舌尔共和国	塞舌尔共和国 🇸🇨
苏丹	苏丹 🇸🇩
苏丹共和国	苏丹共和国 🇸🇩
瑞典	瑞典 🇸🇪
瑞典王国	瑞典王国 🇸🇪
新加坡	新加坡 🇸🇬
新加坡共和国	新加坡共和国 🇸🇬
圣赫勒拿	圣赫勒拿 🇸🇭
斯洛文尼亚	斯洛文尼亚 🇸🇮
斯洛文尼亚共和国	斯洛文尼亚共和国 🇸🇮
斯瓦尔巴和扬马延	斯瓦尔巴和扬马延 🇸🇯
斯洛伐克	斯洛伐克 🇸🇰
斯洛伐克共和国	斯洛伐克共和国 🇸🇰
塞拉利昂	塞拉利昂 🇸🇱
塞拉利昂共和国	塞拉利昂共和国 🇸🇱
圣马力诺	圣马力诺 🇸🇲
圣马力诺共和国	圣马力诺共和国 🇸🇲
塞内加尔	塞内加尔 🇸🇳
塞内加尔共和国	塞内加尔共和国 🇸🇳
索马里	索马里 🇸🇴
索马里联邦	索马里联邦 🇸🇴
索马里联邦共和国	索马里联邦共和国 🇸🇴
苏里南	苏里南 🇸🇷
苏里南共和国	苏里南共和国 🇸🇷
南苏丹	南苏丹 🇸🇸
南苏丹共和国	南苏丹共和国 🇸🇸
圣多美和普林西比	圣多美和普林西比 🇸🇹
圣多美和普林西比民主共和国	圣多美和普林西比民主共和国 🇸🇹
萨尔瓦多	萨尔瓦多 🇸🇻
萨尔瓦多共和国	萨尔瓦多共和国 🇸🇻
荷属圣马丁	荷属圣马丁 🇸🇽
圣马丁	圣马丁 🇸🇽
叙利亚	叙利亚 🇸🇾
叙利亚共和国	叙利亚共和国 🇸🇾
阿拉伯叙利亚共和国	阿拉伯叙利亚共和国 🇸🇾
斯威士兰	斯威士兰 🇸🇿
斯威士兰王国	斯威士兰王国 🇸🇿
特里斯坦–达库尼亚群岛	特里斯坦–达库尼亚群岛 🇹🇦
特里斯坦–达库尼亚	特里斯坦–达库尼亚 🇹🇦
特克斯和凯科斯群岛	特克斯和凯科斯群岛 🇹🇨
乍得	乍得 🇹🇩
乍得共和国	乍得共和国 🇹🇩
法属南部领地	法属南部领地 🇹🇫
多哥	多哥 🇹🇬
多哥共和国	多哥共和国 🇹🇬
泰国	泰国 🇹🇭
泰王国	泰王国 🇹🇭
暹罗	暹罗 🇹🇭
塔吉克斯坦	塔吉克斯坦 🇹🇯
塔吉克斯坦共和国	塔吉克斯坦共和国 🇹🇯
托克劳	托克劳 🇹🇰
东帝汶	东帝汶 🇹🇱
东帝汶民主共和国	东帝汶民主共和国 🇹🇱
土库曼斯坦	土库曼斯坦 🇹🇲
突尼斯	突尼斯 🇹🇳
突尼斯共和国	突尼斯共和国 🇹🇳
汤加	汤加 🇹🇴
汤加王国	汤加王国 🇹🇴
土耳其	土耳其 🇹🇷
土耳其共和国	土耳其共和国 🇹🇷
特立尼达和多巴哥	特立尼达和多巴哥 🇹🇹
特立尼达和多巴哥共和国	特立尼达和多巴哥共和国 🇹🇹
图瓦卢	图瓦卢 🇹🇻
台湾	台湾 🇹🇼
中华民国	中华民国 🇹🇼
坦桑尼亚	坦桑尼亚 🇹🇿
坦桑尼亚联合共和国	坦桑尼亚联合共和国 🇹🇿
乌克兰	乌克兰 🇺🇦
乌干达	乌干达 🇺🇬
乌干达共和国	乌干达共和国 🇺🇬
美国本土外小岛屿	美国本土外小岛屿 🇺🇲
联合国	联合国 🇺🇳
美国	美国 🇺🇸
美利坚	美利坚 🇺🇸
美利坚合众国	美利坚合众国 🇺🇸
星条旗	星条旗 🇺🇸
乌拉圭	乌拉圭 🇺🇾
乌拉圭东岸共和国	乌拉圭东岸共和国 🇺🇾
乌兹别克斯坦	乌兹别克斯坦 🇺🇿
乌兹别克斯坦共和国	乌兹别克斯坦共和国 🇺🇿
梵蒂冈	梵蒂冈 🇻🇦
梵蒂冈城国	梵蒂冈城国 🇻🇦
圣文森特和格林纳丁斯	圣文森特和格林纳丁斯 🇻🇨
委内瑞拉	委内瑞拉 🇻🇪
委内瑞拉玻利瓦尔共和国	委内瑞拉玻利瓦尔共和国 🇻🇪
英属维尔京群岛	英属维尔京群岛 🇻🇬
美属维尔京群岛	美属维尔京群岛 🇻🇮
越南	越南 🇻🇳
越南社会主义共和国	越南社会主义共和国 🇻🇳
瓦努阿图	瓦努阿图 🇻🇺
瓦努阿图共和国	瓦努阿图共和国 🇻🇺
瓦利斯和富图纳	瓦利斯和富图纳 🇼🇫
萨摩亚	萨摩亚 🇼🇸
萨摩亚独立国	萨摩亚独立国 🇼🇸
科索沃	科索沃 🇽🇰
科索沃共和国	科索沃共和国 🇽🇰
也门	也门 🇾🇪
也门共和国	也门共和国 🇾🇪
马约特	马约特 🇾🇹
南非	南非 🇿🇦
南非共和国	南非共和国 🇿🇦
赞比亚	赞比亚 🇿🇲
赞比亚共和国	赞比亚共和国 🇿🇲
津巴布韦	津巴布韦 🇿🇼
津巴布韦共和国	津巴布韦共和国 🇿🇼
英格兰	英格兰 🏴󠁧󠁢󠁥󠁮󠁧󠁿
苏格兰	苏格兰 🏴󠁧󠁢󠁳󠁣󠁴󠁿
威尔士	威尔士 🏴󠁧󠁢󠁷󠁬󠁳󠁿
